#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Вода
coal                                              ([no block])                                                                     = Разжиженный уголь
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Сырая нефть
refined_oil                                       ([no block])                                                                     = Нефть
refined_fuel                                      ([no block])                                                                     = Очищенное топливо
sap                                               ([no block])                                                                     = Сок
syrup                                             ([no block])                                                                     = Сироп
resin                                             ([no block])                                                                     = Смола
tree_oil                                          ([no block])                                                                     = Древесное масло
seed_oil                                          ([no block])                                                                     = Растительное масло
biocrude                                          ([no block])                                                                     = Бионефть
refined_biofuel                                   ([no block])                                                                     = Биотопливо
mushroom_stew                                     ([no block])                                                                     = Тушёные грибы
experience                                        ([no block])                                                                     = Эссенция знаний
potion                                            ([no block])                                                                     = Зелье
potion_splash                                     ([no block])                                                                     = Взрывное зелье
potion_lingering                                  ([no block])                                                                     = Туманное зелье
redstone                                          (thermalfoundation:fluid_redstone)                                               = Дестабилизированный красный камень
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Заряженный светящийся камень
ender                                             (thermalfoundation:fluid_ender)                                                  = Резонирующий эндериум
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Пылающий пиротеум
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Ледяной криотеум
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Невесомый аэротеум
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Тектонический петротеум
mana                                              (thermalfoundation:fluid_mana)                                                   = Изначальная мана
platinum                                          (tconstruct:molten_platinum)                                                     = Расплавленная платина
iridium                                           (tconstruct:molten_iridium)                                                      = Расплавленный иридий
invar                                             (tconstruct:molten_invar)                                                        = Расплавленный инвар
constantan                                        (tconstruct:molten_constantan)                                                   = Расплавленный константан
signalum                                          (tconstruct:molten_signalum)                                                     = Расплавленный синал
lumium                                            (tconstruct:molten_lumium)                                                       = Расплавленный ламиум
enderium                                          (tconstruct:molten_enderium)                                                     = Расплавленный эндериум
coolant                                           ([no block])                                                                     = Хладагент
woodgas                                           ([no block])                                                                     = Древесный газ
biomass                                           ([no block])                                                                     = Biomass
biogas                                            ([no block])                                                                     = Biogas
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
osmium                                            (tconstruct:molten_osmium)                                                       = Molten Osmium
manasteel                                         (tconstruct:molten_manasteel)                                                    = Molten Manasteel
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = Molten Terrasteel
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
stone                                             (tconstruct:molten_stone)                                                        = Расплавленный камень
obsidian                                          (tconstruct:molten_obsidian)                                                     = Расплавленный обсидиан
clay                                              (tconstruct:molten_clay)                                                         = Расплавленная глина
dirt                                              (tconstruct:molten_dirt)                                                         = Жидкая земля
emerald                                           (tconstruct:molten_emerald)                                                      = Жидкий изумруд
glass                                             (tconstruct:molten_glass)                                                        = Жидкое стекло
milk                                              (tconstruct:milk)                                                                = Молоко
blueslime                                         (tconstruct:blueslime)                                                           = Синяя слизь
purpleslime                                       (tconstruct:purpleslime)                                                         = Фиолетовая слизь
